Estación,CLAVE_EST,Latitud,Longitud,Altitud (msnm),Año de instalación,Representatividad (km)
Águilas,AGU,20.630983,-103.416735,1633,1993,2
Atemajac,ATM,20.719626,-103.355412,1563,1993,2
Centro,CEN,20.673844,-103.333243,1582,1993,2
Country,COU,20.6980712,-103.3581188,1640,2024,2
Loma Dorada,LDO,20.631665,-103.256809,1645,1993,2
Miravalle,MIR,20.614511,-103.343352,1622,1993,2
Oblatos,OBL,20.700501,-103.296648,1608,1993,2
Las Pintas,PIN,20.576708,-103.326533,1543,2011,2
Santa Anita,SAN,20.5519704,-103.447256,1595,2024,2
Santa Fé,SFE,20.528954,-103.37718,1543,2013,2
Santa Margarita,SMA,20.723836,-103.431768,1650,2024,2
Tlaquepaque,TLA,20.640941,-103.312497,1645,1993,2
Vallarta,VAL,20.680141,-103.398572,1582,1993,2
